AIAENG,AIA Engineering Limited,14-Dec-05,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,23-Apr-24,INE206F01022
AIRAN,Airan Limited,03-May-19,INE645W01026
AIROLAM,Airo Lam limited,13-Oct-21,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,29-May-00,INE031B01049
AJAXENGG,Ajax Engineering Limited,17-Feb-25,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,16-Jun-09,INE298G01027
AJOONI,Ajooni Biotech Limited,07-May-21,INE820Y01021
AKASH,Akash Infra-Projects Limited,11-Oct-19,INE737W01013
AKG,Akg Exim Limited,16-Feb-21,INE00Y801016
AKI,AKI India Limited,06-Apr-23,INE642Z01026
AKSHAR,Akshar Spintex Limited,23-May-22,INE256Z01025
AKSHARCHEM,AksharChem India Limited,28-Mar-17,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,18-Aug-00,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,06-Aug-24,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,28-Jun-01,INE133A01011
ALANKIT,Alankit Limited,30-Jun-15,INE914E01040
ALBERTDAVD,Albert David Limited,14-Jun-16,INE155C01010
ALEMBICLTD,Alembic Limited,22-Sep-99,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,06-Jan-26,INE598D01035
ALICON,Alicon Castalloy Limited,29-Sep-06,INE062D01024
ALIVUS,Alivus Life Sciences Limited,06-Aug-21,INE03Q201024
ALKALI,Alkali Metals Limited,06-Nov-08,INE773I01017
ALKEM,Alkem Laboratories Limited,23-Dec-15,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,26-Nov-07,INE150B01039
ALLCARGO,Allcargo Logistics Limited,23-Jun-06,INE418H01029
ALLDIGI,Alldigi Tech Limited,09-May-05,INE835G01018
ALLTIME,All Time Plastics Limited,14-Aug-25,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,16-Jun-08,INE326B01035
ALOKINDS,Alok Industries Limited,19-Feb-20,INE270A01029
ALPA,Alpa Laboratories Limited,06-Aug-07,INE385I01010
ALPHAGEO,Alphageo (India) Limited,11-May-07,INE137C01018
AMANTA,Amanta Healthcare Limited,09-Sep-25,INE084K01015
AMBER,Amber Enterprises India Limited,30-Jan-18,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,29-Jun-04,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,29-Jan-08,INE540G01014
AMBUJACEM,Ambuja Cements Limited,18-Feb-98,INE079A01024
AMDIND,AMD Industries Limited,19-Mar-07,INE005I01014
AMJLAND,Amj Land Holdings Limited,08-Feb-95,INE606A01024
AMNPLST,Amines & Plasticizers Limited,10-Nov-23,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,02-Jan-15,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,14-Dec-21,INE463V01026
ANANTRAJ,Anant Raj Limited,27-Sep-06,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,13-May-04,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,01-Nov-95,INE715B01021
ANGELONE,Angel One Limited,05-Oct-20,INE732I01013
ANIKINDS,Anik Industries Limited,21-May-08,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,14-Mar-13,INE106I01010
ANMOL,Anmol India Limited,04-Jun-21,INE02AR01019
ANSALAPI,Ansal Properties & Infrastructure Limited,27-Jan-06,INE436A01026
ANTELOPUS,Antelopus Selan Energy Limited,26-Sep-06,INE818A01017
ANTGRAPHIC,Antarctica Limited,31-Dec-97,INE414B01021
ANTHEM,Anthem Biosciences Limited,21-Jul-25,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,20-Dec-24,INE489G01022
ANUP,The Anup Engineering Limited,01-Mar-19,INE294Z01018
ANURAS,Anupam Rasayan India Limited,24-Mar-21,INE930P01018
APARINDS,Apar Industries Limited,12-Jul-04,INE372A01015
APCL,Anjani Portland Cement Limited,10-Apr-17,INE071F01012
APCOTEXIND,Apcotex Industries Limited,06-Sep-95,INE116A01032
APEX,Apex Frozen Foods Limited,04-Sep-17,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,14-Dec-11,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,20-Sep-11,INE901L01018
APOLLO,Apollo Micro Systems Limited,22-Jan-18,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,10-Jan-96,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,11-Nov-19,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,31-May-95,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,28-Jan-15,INE451F01024
APTECHT,Aptech Limited,27-Sep-02,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,24-Aug-21,INE852O01025
ARCHIDPLY,Archidply Industries Limited,04-Jul-08,INE877I01016
ARCHIES,Archies Limited,02-Sep-98,INE731A01020
ARE&M,Amara Raja Energy & Mobility Limited,05-Sep-03,INE885A01032
ARENTERP,Rajdarshan Industries Limited,18-Oct-95,INE610C01014
ARFIN,Arfin India Limited,22-Jul-25,INE784R01023
ARIES,Aries Agro Limited,11-Jan-08,INE298I01015
ARIHANTCAP,Arihant Capital Markets Limited,15-Jun-21,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,28-Mar-17,INE643K01018
